B1	Резонатор кварцевый 3215-32.768кГц±20ppm ECS, ECS-.327-12.5-34B	1	Digi-Key: XC1617CT-ND
B2,B3	Резонатор кварцевый 3225-25.0МГц±30ppm Abracon Corporation, ABM8G-25.000MHZ-18-D2Y-T	2	Digi-Key: 535-10275-1-ND
B4	Резонатор кварцевый 3225-12.0МГц±30ppm Abracon Corporation, ABM8G-12.000MHZ-18-D2Y-T	1	Digi-Key: 535-10261-1-ND
B5..B8	Резонатор кварцевый 3225-25.0МГц±30ppm Abracon Corporation, ABM8G-25.000MHZ-18-D2Y-T	4	Digi-Key: 535-10275-1-ND


C1	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C2,C3	Конденсатор B-100.0мкФ±20%-10V AVX Corp., TPSB107M010R0400	2	Digi-Key: 478-5231-1-ND
C4,C5	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	2	Digi-Key: 490-3261-1-ND
C6..C8	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	3	Digi-Key: 490-4516-2-ND
C9..C13	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	5	Digi-Key: 490-3261-1-ND
C14	Конденсатор 0805-22.0мкФ±20%-6.3V-X5R Murata, GRM21BR60J226ME39	1	Digi-Key: 490-1719-1-ND
C15	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C16	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C17,C18	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	2	Digi-Key: 490-3890-1-ND
C19,C20	Конденсатор 0402-1000пФ±5%-50V-C0G, NP0 Murata, GRM1555C1H102JA01D	2	Digi-Key: 490-3244-1-ND
